,file,class,Predicted_Values,wmc,tcc,totalMethodsQty,totalFieldsQty,loc,Predicted_Metrics,Euclidean_dist
157,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\AnimationDecorator.java,CH.ifa.draw.samples.javadraw.AnimationDecorator,none,18,0.33333334,10,4,50,[19.  0. 11.  2. 52.],[3.17979734]
158,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\StorageFormat.java,CH.ifa.draw.util.StorageFormat,none,3,0.0,3,0,5,[3. 0. 3. 0. 5.],[0.]
159,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\LocatorConnector.java,CH.ifa.draw.standard.LocatorConnector,none,8,0.53571427,8,4,38,[10.          0.73333335  9.          5.         38.        ],[2.45744853]
160,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\RectangleFigure.java,CH.ifa.draw.figures.RectangleFigure,minor,10,0.06666667,10,3,45,[ 9.  0.  9.  3. 46.],[1.73333333]
161,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\FigureEnumeration.java,CH.ifa.draw.framework.FigureEnumeration,none,1,,1,0,3,[ 1. -1.  1.  0.  3.],[1.]
162,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\DrawingEditor.java,CH.ifa.draw.framework.DrawingEditor,none,9,0.0,9,0,11,[ 9.  0.  9.  0. 12.],[1.]
163,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\PolygonFigure.java,CH.ifa.draw.contrib.PolygonFigure,major,70,0.006722689,35,4,311,[ 67.   0.  24.  12. 311.],[13.9283899]
164,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\BoxHandleKit.java,CH.ifa.draw.standard.EastHandle,none,2,0.0,2,0,9,[2. 0. 2. 0. 9.],[0.]
165,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\Layouter.java,CH.ifa.draw.contrib.Layouter,none,4,0.0,4,0,6,[3. 0. 3. 0. 6.],[1.41421356]
166,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\CommandButton.java,CH.ifa.draw.util.CommandButton,none,3,1.0,2,1,14,[ 3.  0.  2.  1. 14.],[1.]
167,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\FigureSelectionListener.java,CH.ifa.draw.framework.FigureSelectionListener,none,1,,1,0,3,[ 1. -1.  1.  0.  3.],[1.]
168,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\BoxHandleKit.java,CH.ifa.draw.standard.WestHandle,none,2,0.0,2,0,9,[2. 0. 2. 0. 9.],[0.]
169,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\Figure.java,CH.ifa.draw.framework.Figure,none,34,0.0,34,1,37,[34.  0. 34.  0. 34.],[3.16227766]
170,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\application\DrawApplication.java,CH.ifa.draw.application.DrawApplication,none,113,0.008281574,72,18,587,[118.   0.  48.  25. 593.],[26.19160302]
171,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\ConnectionTool.java,CH.ifa.draw.standard.ConnectionTool,minor,59,0.0116959065,27,9,241,[ 64.   0.  24.   2. 234.],[11.48913125]
172,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\Animatable.java,CH.ifa.draw.util.Animatable,none,1,,1,0,3,[ 1. -1.  1.  0.  3.],[1.]
