file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\WindowMenu.java,CH.ifa.draw.contrib.WindowMenu,class,6,8,2,6,4,14,0,9,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,76,0,1,1,0,0,2,3,6,0,6,1,4,1,0,46,1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\InsertImageCommand.java,CH.ifa.draw.figures.InsertImageCommand,class,7,9,2,7,3,3,0,7,1,0.33333334,0.33333334,0.33333334,3,0,2,0,1,0,3,0,0,0,1,0,0,1,0,0,0,0,0,56,1,0,0,0,1,0,0,1,0,1,0,0,1,0,36,1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\FastBufferedUpdateStrategy.java,CH.ifa.draw.standard.FastBufferedUpdateStrategy,class,5,6,1,5,14,1,0,14,1,0.4666667,0.0,0.0,3,0,2,1,0,0,2,0,0,0,5,0,0,5,0,0,0,0,0,61,0,0,7,0,6,0,12,27,6,18,2,0,0,0,51,1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\SplitPaneDrawApplication.java,CH.ifa.draw.contrib.SplitPaneDrawApplication,class,3,4,1,3,14,7,0,10,41,0.8,0.044444446,0.044444446,10,0,4,0,6,0,10,0,2,0,2,0,0,2,0,0,0,0,0,50,7,0,4,0,2,1,0,3,0,3,1,0,0,0,67,1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\Clipboard.java,CH.ifa.draw.util.Clipboard,class,1,4,3,1,4,1,0,0,0,0.5,0.33333334,0.33333334,4,1,3,1,0,0,3,0,0,0,2,1,0,1,0,1,0,0,0,15,2,0,0,0,0,0,0,2,0,2,0,0,0,0,27,1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\StorableInput.java,CH.ifa.draw.util.StorableInput,class,2,33,31,2,22,1,0,16,19,0.6,0.47619048,0.47619048,10,0,7,3,0,0,7,0,0,0,2,0,0,2,0,0,0,0,1,88,10,0,6,1,1,12,1,16,8,16,1,0,0,0,80,1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\PolyLineFigure.java,CH.ifa.draw.figures.PolyLineFigure,class,12,23,11,12,63,2,2,48,195,0.9029411,0.3125,0.5246212,34,1,29,1,4,0,33,0,0,0,10,5,4,2,4,0,5,0,4,238,22,9,8,0,5,4,36,50,11,41,3,0,0,0,168,1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\DuplicateCommand.java,CH.ifa.draw.standard.DuplicateCommand,class,9,12,3,9,5,3,0,13,6,0.0,0.0,0.0,4,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,0,0,0,0,3,2,0,2,0,0,0,0,40,1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\DecoratorFigure.java,CH.ifa.draw.standard.DecoratorFigure,class,10,16,6,10,36,2,2,34,526,0.979798,0.002016129,0.002016129,33,0,30,1,2,0,32,0,0,0,3,1,0,3,0,0,1,0,0,114,14,0,3,0,1,0,2,3,0,3,1,0,0,0,156,1025,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\SendToBackCommand.java,CH.ifa.draw.standard.SendToBackCommand,class,10,12,2,10,6,3,0,14,6,0.0,0.0,0.0,4,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,70,2,1,0,0,0,0,1,1,0,1,1,0,1,0,39,1,0
